stno,year,month,day,hour,minute,date,imaxrdry,maxdry,imindry,mindry,istddry,stdddry,imaxgrass,maxgrass,imingrass,mingrass,istdgrass,stdgrass,imaxsoil5,maxsoil5,iminsoil5,minsoil5,istdsoil5,stdsoil5,imaxsoil10,maxsoil10,iminsoil10,minsoil10,istdsoil10,stdsoil10,imaxsoil20,maxsoil20,iminsoil20,minsoil20,istdsoil20,stdsoil20,imaxearth30,maxearth30,iminearth30,minearth30,istdearth30,stdearth30,imaxearth50,maxearth50,iminearth50,minearth50,istdearth50,stdearth50,imaxearth100,maxearth100,iminearth100,minearth100,istdearth100,stdearth100,imaxhum,maxhum,iminhum,minhum,istdhum,stdhum,imaxbaro,maxbaro,iminbaro,minbaro,istdbaro,stdbaro
175,2016,12,1,0,0,01-dec-2016 00:00:00,0,0.504,0,0.244,0,0.074,0,-3.793,0,-4.687,0,0.272,0,1.270,0,1.232,0,0.007,0,2.161,0,2.119,0,0.010,0,4.134,0,4.109,0,0.006,0,4.914,0,4.876,0,0.008,0,6.491,0,6.452,0,0.010,0,9.210,0,9.190,0,0.005,0,96.800,0,95.300,0,0.468,0,1028.380,0,1028.350,0,0.008
175,2016,12,1,0,10,01-dec-2016 00:10:00,0,0.562,0,0.354,0,0.051,0,-3.854,0,-4.575,0,0.206,0,1.258,0,1.224,0,0.008,0,2.150,0,2.113,0,0.007,0,4.135,0,4.089,0,0.012,0,4.899,0,4.870,0,0.007,0,6.483,0,6.445,0,0.008,0,9.210,0,9.190,0,0.005,0,96.600,0,95.000,0,0.454,0,1028.360,0,1028.180,0,0.055
175,2016,12,1,0,20,01-dec-2016 00:20:00,0,0.577,0,0.295,0,0.093,0,-4.590,0,-4.754,0,0.048,0,1.245,0,1.215,0,0.008,0,2.141,0,2.106,0,0.009,0,4.113,0,4.088,0,0.006,0,4.891,0,4.861,0,0.007,0,6.473,0,6.449,0,0.006,0,9.210,0,9.190,0,0.007,0,97.500,0,95.400,0,0.647,0,1028.180,0,1028.160,0,0.005
175,2016,12,1,0,30,01-dec-2016 00:30:00,0,0.367,0,0.215,0,0.046,0,-4.601,0,-4.761,0,0.052,0,1.234,0,1.211,0,0.006,0,2.131,0,2.098,0,0.007,0,4.116,0,4.082,0,0.006,0,4.878,0,4.848,0,0.007,0,6.469,0,6.443,0,0.006,0,9.210,0,9.180,0,0.008,0,97.100,0,96.000,0,0.298,0,1028.170,0,1028.010,0,0.048
175,2016,12,1,0,40,01-dec-2016 00:40:00,0,0.378,0,0.217,0,0.050,0,-4.458,0,-4.799,0,0.097,0,1.232,0,1.200,0,0.008,0,2.123,0,2.087,0,0.009,0,4.107,0,4.067,0,0.010,0,4.881,0,4.845,0,0.009,0,6.465,0,6.439,0,0.007,0,9.210,0,9.190,0,0.007,0,97.700,0,96.600,0,0.330,0,1028.010,0,1027.960,0,0.014
175,2016,12,1,0,50,01-dec-2016 00:50:00,0,0.273,0,0.097,0,0.052,0,-4.356,0,-4.576,0,0.066,0,1.222,0,1.188,0,0.008,0,2.119,0,2.074,0,0.009,0,4.098,0,4.059,0,0.010,0,4.871,0,4.831,0,0.009,0,6.462,0,6.440,0,0.005,0,9.210,0,9.190,0,0.006,0,97.200,0,95.700,0,0.403,0,1027.970,0,1027.830,0,0.044
175,2016,12,1,1,0,01-dec-2016 01:00:00,0,0.475,0,0.147,0,0.099,0,-3.535,0,-4.351,0,0.262,0,1.219,0,1.183,0,0.009,0,2.095,0,2.070,0,0.007,0,4.090,0,4.050,0,0.007,0,4.857,0,4.833,0,0.005,0,6.462,0,6.431,0,0.007,0,9.210,0,9.170,0,0.008,0,97.000,0,95.900,0,0.258,0,1027.860,0,1027.820,0,0.015
175,2016,12,1,1,10,01-dec-2016 01:10:00,0,0.369,0,0.219,0,0.041,0,-3.938,0,-4.393,0,0.160,0,1.207,0,1.175,0,0.007,0,2.094,0,2.055,0,0.009,0,4.080,0,4.043,0,0.009,0,4.848,0,4.818,0,0.008,0,6.462,0,6.431,0,0.007,0,9.200,0,9.180,0,0.005,0,97.100,0,95.500,0,0.451,0,1027.810,0,1027.790,0,0.006
175,2016,12,1,1,20,01-dec-2016 01:20:00,0,0.277,0,0.092,0,0.062,0,-4.368,0,-4.601,0,0.072,0,1.191,0,1.163,0,0.006,0,2.071,0,2.042,0,0.007,0,4.063,0,4.036,0,0.007,0,4.841,0,4.809,0,0.007,0,6.451,0,6.428,0,0.005,0,9.200,0,9.180,0,0.007,0,97.100,0,96.300,0,0.242,0,1027.790,0,1027.750,0,0.015
175,2016,12,1,1,30,01-dec-2016 01:30:00,0,0.124,0,0.007,0,0.028,0,-4.471,0,-4.918,0,0.119,0,1.183,0,1.148,0,0.008,0,2.065,0,2.034,0,0.007,0,4.060,0,4.034,0,0.007,0,4.832,0,4.796,0,0.009,0,6.452,0,6.420,0,0.009,0,9.220,0,9.180,0,0.008,0,97.500,0,96.400,0,0.239,0,1027.820,0,1027.750,0,0.016
